vehicleType,0.0
time1,0
time2,0
time3,0
time4,0
time5,0
time6,0
time7,0
time8,0
time9,0
time10,0
time11,0
time12,0
time13,0
time14,0
time15,0
time16,0
time17,0
time18,0
time19,0
time20,0
time21,0
time22,0
time23,0
time24,0
time25,0
time26,0
time27,0
time28,0
time29,0
time30,0
time31,0
time32,0
time33,0
time34,0
time35,0
time36,0
time37,0
time38,0
time39,0
time40,0
time41,0
time42,0
time43,0
time44,0
time45,0
time46,0
time47,0
time48,0
ifHoliday,0
holidayDays,0
holidayStage,0
ifWorkDay,0
weekDay,1
timeStage,1
month,1
